* FASER$\nu$2 charm $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 charm $\nu_{\mu}$'
   IndexDataset = 138
   Reaction = 'CC nup'

   NData = 36
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_charm_nu-a1/nu_A_1-FASERv2_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat
  1             0.003932372                6.373266        1.13483148011885        7.91962864422024
  1             0.005384801                6.507426       0.801528069966456        6.38134059262004
  1             0.005442301                17.04634        1.00648568085756        7.58543805794742
  1             0.007377834                6.630931       0.578058333387889        5.38190338069381
  1             0.007452669                19.41312       0.642548841954228        5.30748118920877
  1              0.01009359                6.701204       0.356465162862252        4.72378048998186
  1              0.01018219                22.00961       0.435854987806563        3.91148968827053
  1              0.01384168                6.763737         0.2448404208723        4.30430405393889
  1              0.01395454                 25.5498       0.334012163934932        3.04821030194854
  1              0.01896513                6.874864       0.167969206854129        4.04621044731744
  1              0.01912453                29.04795       0.200953015623732        2.45746895421778
  1              0.02583151                7.375403       0.112373950948983         4.2946789930976
  1              0.02624621                32.56832       0.129744725864537         2.0754611974701
  1              0.02673793                134.6123        0.13634990824833        9.03170942799366
  1              0.03525814                8.309899      0.0680638252932757        5.40327753410972
  1              0.03605319                36.19222      0.0819584078166895        1.82413971181311
  1              0.03661596                146.8202      0.0802023104388609        5.64015131994587
  1              0.04938439                39.44074      0.0497946045621217        1.66383474080667
  1              0.05000227                160.1004      0.0447284888355072        3.86784525321753
  1              0.06744522                44.24027      0.0291732037819926         1.6191182384483
  1              0.06846246                177.8233        0.02600064664488        2.84650749369415
  1              0.09240107                49.70867      0.0169437828502352        1.64061443120379
  1              0.09357825                200.0617      0.0152369952844954        2.24161480196612
  1                0.126758                55.61981     0.00940337297207216        1.72813295887308
  1               0.1283085                226.4663     0.00828945276462502        1.86218050637661
  1               0.1739674                62.17406     0.00498410716407646         1.9399173659153
  1               0.1759378                 254.319     0.00423390740849447        1.66137633754471
  1               0.2374989                69.71387      0.0023712779617304        2.43697994026681
  1               0.2406599                284.1339     0.00182278493274966         1.6563523755307
  1               0.3213447                78.82821     0.00091438477483611        3.66164015311492
  1                0.328067                309.7822    0.000700494357143704        1.84239564699373
  1               0.3334698                1387.357     0.00035103748208243        8.09626066653295
  1               0.4248601                89.67316    0.000396338638343022        7.60769765019099
  1               0.4444438                334.0215    0.000228135588268017        2.25929514141274
  1               0.4499902                1486.092    0.000116927500549391        7.57035113961339
  1               0.5960546                361.3324    7.83898934017781e-05        3.84001791901701
